id,status,last_price_traded,total_matched,handicap,market_id,record_date
41541473,ACTIVE,2.54,0.0,0.0,1.216084286,2023-07-15 18:00
29163,ACTIVE,1.64,0.0,0.0,1.216084286,2023-07-15 18:00
29177,ACTIVE,2.18,0.0,0.0,1.216084332,2023-07-15 18:00
29175,ACTIVE,1.86,0.0,0.0,1.216084332,2023-07-15 18:00
29178,ACTIVE,1.65,0.0,0.0,1.216084604,2023-07-15 18:00
29176,ACTIVE,2.48,0.0,0.0,1.216084604,2023-07-15 18:00
5408012,ACTIVE,3.6,0.0,0.0,1.216084650,2023-07-15 18:00
7100960,ACTIVE,1.38,0.0,0.0,1.216084650,2023-07-15 18:00
29161,ACTIVE,1.64,0.0,0.0,1.216084696,2023-07-15 18:00
29168,ACTIVE,2.5,0.0,0.0,1.216084696,2023-07-15 18:00
29162,ACTIVE,1.42,0.0,0.0,1.216099933,2023-07-15 18:00
29179,ACTIVE,3.35,0.0,0.0,1.216099933,2023-07-15 18:00
29162,ACTIVE,,0.0,0.0,1.216099979,2023-07-15 18:00
29179,ACTIVE,2.9,0.0,0.0,1.216099979,2023-07-15 18:00
29160,ACTIVE,1.47,0.0,0.0,1.216100291,2023-07-15 18:00
7100972,ACTIVE,3.0,0.0,0.0,1.216100291,2023-07-15 18:00
1033687,ACTIVE,2.8,0.0,0.0,1.216100337,2023-07-15 18:00
50291,ACTIVE,1.56,0.0,0.0,1.216100337,2023-07-15 18:00
29159,ACTIVE,2.78,0.0,0.0,1.216084102,2023-07-16 00:00
7100968,ACTIVE,1.56,0.0,0.0,1.216084102,2023-07-16 00:00
29170,ACTIVE,1.7,0.0,0.0,1.216084240,2023-07-16 00:00
1093236,ACTIVE,2.4,0.0,0.0,1.216084240,2023-07-16 00:00
29161,ACTIVE,1.64,0.0,0.0,1.216084696,2023-07-16 00:00
29168,ACTIVE,2.5,0.0,0.0,1.216084696,2023-07-16 00:00
29160,ACTIVE,1.59,0.0,0.0,1.216121306,2023-07-16 08:07
7100972,ACTIVE,2.84,0.0,0.0,1.216121306,2023-07-16 08:07
29162,ACTIVE,,0.0,0.0,1.216121355,2023-07-16 08:07
29179,ACTIVE,2.96,0.0,0.0,1.216121355,2023-07-16 08:07
41541473,ACTIVE,,0.0,0.0,1.216121401,2023-07-16 08:07
29163,ACTIVE,,0.0,0.0,1.216121401,2023-07-16 08:07
29170,ACTIVE,,0.0,0.0,1.216121447,2023-07-16 08:07
1093236,ACTIVE,2.36,0.0,0.0,1.216121447,2023-07-16 08:07
29158,ACTIVE,2.36,0.0,0.0,1.216121505,2023-07-16 08:07
29166,ACTIVE,1.74,0.0,0.0,1.216121505,2023-07-16 08:07
29161,ACTIVE,1.53,0.0,0.0,1.216121552,2023-07-16 08:07
29168,ACTIVE,,0.0,0.0,1.216121552,2023-07-16 08:07
5408012,ACTIVE,2.52,0.0,0.0,1.216121598,2023-07-16 08:07
7100960,ACTIVE,1.66,0.0,0.0,1.216121598,2023-07-16 08:07
