game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,losing_Team
717602,2023-06-27T01:40:00Z,2023-06-26,R,Final,Washington Nationals,Seattle Mariners,120,136,N,1,Luis Castillo,Trevor Williams,,,4,8,9.0,Top,680,T-Mobile Park,"['MLBN (out-of-market only)', 'MLB.tv Free Game']",SEA leads 1-0,Seattle Mariners,Washington Nationals,Luis Castillo,Cory Abbott,Paul Sewald,2023-06-26 - Washington Nationals (4) @ Seattle Mariners (8) (Final),
717601,2023-06-27T23:05:00Z,2023-06-27,R,Final,Cincinnati Reds,Baltimore Orioles,113,110,N,1,Tyler Wells,Andrew Abbott,,,3,1,9.0,Bottom,2,Oriole Park at Camden Yards,[],Series tied 1-1,Cincinnati Reds,Baltimore Orioles,Andrew Abbott,Tyler Wells,Alexis Diaz,2023-06-27 - Cincinnati Reds (3) @ Baltimore Orioles (1) (Final),
717603,2023-06-27T23:05:00Z,2023-06-27,R,Final,San Diego Padres,Pittsburgh Pirates,135,134,N,1,Rich Hill,Reiss Knehr,,,4,9,9.0,Top,31,PNC Park,[],PIT leads 1-0,Pittsburgh Pirates,San Diego Padres,Rich Hill,Reiss Knehr,Roansy Contreras,2023-06-27 - San Diego Padres (4) @ Pittsburgh Pirates (9) (Final),
717604,2023-06-27T23:07:00Z,2023-06-27,R,Final,San Francisco Giants,Toronto Blue Jays,137,141,N,1,Kevin Gausman,Ryan Walker,,,3,0,9.0,Bottom,14,Rogers Centre,[],SF leads 1-0,San Francisco Giants,Toronto Blue Jays,Alex Wood,Kevin Gausman,Camilo Doval,2023-06-27 - San Francisco Giants (3) @ Toronto Blue Jays (0) (Final),
717605,2023-06-27T23:10:00Z,2023-06-27,R,Final,Miami Marlins,Boston Red Sox,146,111,N,1,Garrett Whitlock,Sandy Alcantara,,,10,1,9.0,Bottom,3,Fenway Park,[],MIA leads 1-0,Miami Marlins,Boston Red Sox,Sandy Alcantara,Garrett Whitlock,,2023-06-27 - Miami Marlins (10) @ Boston Red Sox (1) (Final),
717597,2023-06-27T23:10:00Z,2023-06-27,R,Final,Milwaukee Brewers,New York Mets,158,121,N,1,David Peterson,Julio Teheran,,,2,7,9.0,Top,3289,Citi Field,[],Series tied 1-1,New York Mets,Milwaukee Brewers,David Peterson,Julio Teheran,,2023-06-27 - Milwaukee Brewers (2) @ New York Mets (7) (Final),
717600,2023-06-27T23:20:00Z,2023-06-27,R,Final,Minnesota Twins,Atlanta Braves,142,144,N,1,Bryce Elder,Joe Ryan,,,2,6,9.0,Top,4705,Truist Park,"['TBS (out-of-market only)', 'TBS']",ATL wins 2-0,Atlanta Braves,Minnesota Twins,Bryce Elder,Joe Ryan,,2023-06-27 - Minnesota Twins (2) @ Atlanta Braves (6) (Final),
717598,2023-06-27T23:45:00Z,2023-06-27,R,Final,Houston Astros,St. Louis Cardinals,117,138,N,1,Jordan Montgomery,Framber Valdez,,,2,4,9.0,Top,2889,Busch Stadium,[],STL leads 1-0,St. Louis Cardinals,Houston Astros,Jordan Montgomery,Framber Valdez,Jordan Hicks,2023-06-27 - Houston Astros (2) @ St. Louis Cardinals (4) (Final),
717599,2023-06-28T00:05:00Z,2023-06-27,R,Final,Detroit Tigers,Texas Rangers,116,140,N,1,Martin Perez,Matt Manning,,,3,8,9.0,Top,5325,Globe Life Field,[],Series tied 1-1,Texas Rangers,Detroit Tigers,Josh Sborz,Brendan White,,2023-06-27 - Detroit Tigers (3) @ Texas Rangers (8) (Final),
717596,2023-06-28T00:05:00Z,2023-06-27,R,Final,Philadelphia Phillies,Chicago Cubs,143,112,N,1,Jameson Taillon,Ranger Suarez,,,5,1,9.0,Bottom,17,Wrigley Field,[],PHI leads 1-0,Philadelphia Phillies,Chicago Cubs,Ranger Suarez,Jameson Taillon,,2023-06-27 - Philadelphia Phillies (5) @ Chicago Cubs (1) (Final),
717591,2023-06-28T00:10:00Z,2023-06-27,R,Final,Cleveland Guardians,Kansas City Royals,114,118,N,1,Brady Singer,Gavin Williams,,,2,1,9.0,Bottom,7,Kauffman Stadium,[],CLE leads 1-0,Cleveland Guardians,Kansas City Royals,Trevor Stephan,Scott Barlow,Emmanuel Clase,2023-06-27 - Cleveland Guardians (2) @ Kansas City Royals (1) (Final),
717594,2023-06-28T00:40:00Z,2023-06-27,R,Final,Los Angeles Dodgers,Colorado Rockies,119,115,N,1,Connor Seabold,Clayton Kershaw,,,5,0,9.0,Bottom,19,Coors Field,[],LAD leads 1-0,Los Angeles Dodgers,Colorado Rockies,Clayton Kershaw,Connor Seabold,Evan Phillips,2023-06-27 - Los Angeles Dodgers (5) @ Colorado Rockies (0) (Final),
717592,2023-06-28T01:38:00Z,2023-06-27,R,Final,Chicago White Sox,Los Angeles Angels,145,108,N,1,Shohei Ohtani,Michael Kopech,,,2,4,9.0,Top,1,Angel Stadium,['MLBN (out-of-market only)'],LAA leads 2-0,Los Angeles Angels,Chicago White Sox,Shohei Ohtani,Michael Kopech,Carlos Estevez,2023-06-27 - Chicago White Sox (2) @ Los Angeles Angels (4) (Final),
717590,2023-06-28T01:40:00Z,2023-06-27,R,Final,Washington Nationals,Seattle Mariners,120,136,N,1,Bryan Woo,Jake Irvin,,,7,4,11.0,Bottom,680,T-Mobile Park,[],Series tied 1-1,Washington Nationals,Seattle Mariners,Jordan Weems,Trevor Gott,,2023-06-27 - Washington Nationals (7) @ Seattle Mariners (4) (Final),
717593,2023-06-28T01:40:00Z,2023-06-27,R,Final,Tampa Bay Rays,Arizona Diamondbacks,139,109,N,1,Zac Gallen,Taj Bradley,,,4,8,9.0,Top,15,Chase Field,[],AZ leads 1-0,Arizona Diamondbacks,Tampa Bay Rays,Zac Gallen,Taj Bradley,,2023-06-27 - Tampa Bay Rays (4) @ Arizona Diamondbacks (8) (Final),
717595,2023-06-28T01:40:00Z,2023-06-27,R,Final,New York Yankees,Oakland Athletics,147,133,N,1,Paul Blackburn,Jhony Brito,,,1,2,9.0,Top,10,Oakland Coliseum,['MLBN (out-of-market only)'],OAK leads 1-0,Oakland Athletics,New York Yankees,Paul Blackburn,Jhony Brito,Sam Moll,2023-06-27 - New York Yankees (1) @ Oakland Athletics (2) (Final),
717588,2023-06-28T16:20:00Z,2023-06-28,R,Final,Minnesota Twins,Atlanta Braves,142,144,N,1,Kolby Allard,Kenta Maeda,,,0,3,9.0,Top,4705,Truist Park,['MLBN (out-of-market only)'],ATL wins 3-0,Atlanta Braves,Minnesota Twins,Kirby Yates,Kenta Maeda,Raisel Iglesias,2023-06-28 - Minnesota Twins (0) @ Atlanta Braves (3) (Final),
717587,2023-06-28T20:10:00Z,2023-06-28,R,Final,Washington Nationals,Seattle Mariners,120,136,N,1,Logan Gilbert,Patrick Corbin,,,4,1,9.0,Bottom,680,T-Mobile Park,[],WSH wins 2-1,Washington Nationals,Seattle Mariners,Patrick Corbin,Logan Gilbert,Hunter Harvey,2023-06-28 - Washington Nationals (4) @ Seattle Mariners (1) (Final),
717589,2023-06-28T23:05:00Z,2023-06-28,R,Final,Cincinnati Reds,Baltimore Orioles,113,110,N,1,Kyle Gibson,Luke Weaver,,,11,7,10.0,Bottom,2,Oriole Park at Camden Yards,[],CIN wins 2-1,Cincinnati Reds,Baltimore Orioles,Alexis Diaz,Keegan Akin,,2023-06-28 - Cincinnati Reds (11) @ Baltimore Orioles (7) (Final),
