pitcher_id,pitcher_name,current_team,position,pitch_hand,games_started
543351,Jay Jackson,Toronto Blue Jays,P,Right,0
674003,Cody Bradford,Texas Rangers,P,Left,5
668909,Gavin Williams,Cleveland Guardians,P,Right,4
675627,Michael Grove,Los Angeles Dodgers,P,Right,8
668941,JoJo Romero,St. Louis Cardinals,P,Left,0
456501,Johnny Cueto,Miami Marlins,P,Right,1
621383,Tanner Banks,Chicago White Sox,P,Left,3
656457,Tyler Gilbert,Arizona Diamondbacks,P,Left,0
598286,Nick Ramirez,New York Yankees,P,Left,0
670970,Adrian Morejon,San Diego Padres,P,Left,1
621366,Ryan Borucki,Pittsburgh Pirates,P,Left,0
570257,Joely Rodriguez,Boston Red Sox,P,Left,0
669674,Sam Long,Oakland Athletics,P,Left,1
669684,Chris Murphy,Boston Red Sox,P,Left,0
675989,Cody Bolton,Pittsburgh Pirates,P,Right,0
650911,Cristopher Sanchez,Philadelphia Phillies,P,Left,5
669169,Jonathan Heasley,Kansas City Royals,P,Right,0
621294,Ben Heller,Atlanta Braves,P,Right,0
605463,Tayler Scott,Boston Red Sox,P,Right,1
571901,Aaron Loup,Los Angeles Angels,P,Left,0
681911,Alex Vesia,Los Angeles Dodgers,P,Left,1
493603,Adam Ottavino,New York Mets,P,Right,0
594580,Sam Moll,Oakland Athletics,P,Left,1
605242,Michael Fulmer,Chicago Cubs,P,Right,0
600917,Jose Leclerc,Texas Rangers,P,Right,0
663992,Richard Lovelady,Oakland Athletics,P,Left,0
664126,Pete Fairbanks,Tampa Bay Rays,P,Right,0
641793,Zack Littell,Tampa Bay Rays,P,Right,2
657053,Touki Toussaint,Chicago White Sox,P,Right,3
613534,Austin Adams,Arizona Diamondbacks,P,Right,0
663362,Matt Waldron,El Paso Chihuahuas,P,Right,1
676265,Cory Abbott,Washington Nationals,P,Right,0
519008,T.J. McFarland,New York Mets,P,Left,0
607074,Carlos Rodon,New York Yankees,P,Left,1
681517,Kyle Leahy,St. Louis Cardinals,P,Right,0
